word,best_response,shown,meaning,,,
INTANGIBLE,Unable to be touched or grasped; not having physical presence,FALSE,The spirit of a unit is an intangible asset.,,,
TRAVAIL,Painful or laborious effort,FALSE,The travail of the poor farmers is heart-wrenching.,,,
LOOK,To direct one's gaze toward someone or something,FALSE,I look for opportunities to learn and grow.,,,
TENACIOUS,Tending to keep a firm hold of something; clinging or adhering closely,FALSE,I am tenacious and will not give up easily.,,,
WATCH,To look at or observe attentively over a period of time,FALSE,I watch my sector carefully when on sentry duty.,,,
EFFICIENT,Achieving maximum productivity with minimum wasted effort,FALSE,I am an efficient worker who gets the job done on time.,,,
IMPOSING,Grand and impressive in appearance,FALSE,An officer has an imposing but friendly personality.,,,
YOKEL,An uneducated and unsophisticated person from the countryside,FALSE,I am not a yokel; I am a well-informed person.,,,
TORPOR,A state of physical or mental inactivity; lethargy,FALSE,He was in a state of torpor after his long illness.,,,
PUSH,To exert force on someone or something to move them away,FALSE,I push my limits to achieve peak performance.,,,
SUAVE,Charming confident and elegant,FALSE,He is a suave and polished gentleman.,,,
PRODUCE,To make or manufacture from components or raw materials,FALSE,I aim to produce high-quality results in my work.,,,
RESOLUTE,Admirably purposeful determined and unwavering,FALSE,I am resolute in my determination to achieve my objectives.,,,
TRY,To make an attempt or effort to do something,FALSE,I always try my best until the designated task is complete.,,,
INFIRMITY,Physical or mental weakness,FALSE,I do not let any physical infirmity affect my spirit.,,,
SPEND,To give money to pay for goods services or so on,FALSE,I spend my time in productive activities.,,,
DEPRESSION,Feelings of severe despondency and dejection,FALSE,I maintain a positive outlook to keep depression at bay.,,,
TITANIC,Of exceptional strength size or power,FALSE,It was a titanic struggle between the two great armies.,,,
OVERCOME,To succeed in dealing with a problem or difficulty,FALSE,I can overcome any obstacle with my willpower.,,,
ASSURANCE,A positive declaration intended to give confidence; a promise,FALSE,I give my team assurance through my own confidence.,,,
METHODICAL,Done according to a systematic or established form of procedure,FALSE,I am methodical in my work which ensures accuracy.,,,
QUACK,A person who dishonestly claims to have special knowledge and skill,FALSE,I will never go to a quack for my treatment.,,,
SLAKE,To quench or satisfy one's thirst,FALSE,I slaked my thirst with a glass of cool water.,,,
COMPETE,To strive to gain or win something by defeating others,FALSE,I compete with myself to become a better person every day.,,,
QUERY,A question especially one addressed to an official or organization,FALSE,I will query my senior if I have any doubt.,,,
IRREFUTABLE,Impossible to deny or disprove,FALSE,My commitment to my nation is irrefutable.,,,
SECULAR,Not connected with religious or spiritual matters,FALSE,India is a secular country where all religions are respected.,,,
IRK,To irritate; annoy,FALSE,Laziness and inefficiency irk me.,,,
GAMBLE,To play games of chance for money; bet,FALSE,I do not gamble but take calculated risks.,,,
UNCOUTH,Lacking good manners refinement or grace,FALSE,He is an uncouth and boorish fellow.,,,
REMEMBER,To have in or be able to bring to one's mind an awareness of someone or something,FALSE,I remember the sacrifices of our soldiers with gratitude.,,,
EXONERATE,To absolve someone from blame for a fault or wrongdoing,FALSE,The court exonerated him of all the charges.,,,
STRESS,A state of mental or emotional strain or tension,FALSE,I manage stress through physical exercise and meditation.,,,
IMPROVE,To make or become better,FALSE,I constantly strive to improve myself in all aspects of life.,,,
WIZENED,Shrunken and wrinkled with age,FALSE,The old man had a wizened and wrinkled face.,,,
MOTLEY,Incongruously varied in appearance or character,FALSE,I can lead a motley group of people and unite them.,,,
IMPEDE,To delay or prevent someone or something by obstructing them,FALSE,I remove any obstacle that impedes my team's progress.,,,
CRITICISM,The expression of disapproval of someone or something,FALSE,I take constructive criticism positively to improve myself.,,,
PREVENT,To keep something from happening,FALSE,I take preventive measures to avoid potential problems.,,,
OMNIPOTENT,Having unlimited power; able to do anything,FALSE,No human being is omnipotent.,,,
PERQUISITE,A special right or privilege enjoyed as a result of one's position,FALSE,A good reputation is a perquisite of being an officer.,,,
INTELLIGENT,Having or showing intelligence especially of a high level,FALSE,I use my intelligence to find practical solutions to problems.,,,
SUPINE,Lying face upward,FALSE,He was lying supine on the floor.,,,
TON,A unit of weight equal to 2000 pounds,FALSE,I can carry a ton of responsibility on my shoulders.,,,
MILIEU,A person's social environment,FALSE,I can adjust to any social or cultural milieu.,,,
NONPLUSSED,Surprised and confused so much that they are unsure how to react,FALSE,I was nonplussed by his strange behavior.,,,
TRANSCENDENT,Beyond or above the range of normal or physical human experience,FALSE,The mystic had a transcendent experience of god.,,,
REALIZE,To become fully aware of something as a fact,FALSE,I realize the importance of discipline in life.,,,
THE,Denoting one or more people or things already mentioned,FALSE,The officer life is a life of honor and responsibility.,,,
EXPENSE,The cost required for something; the money spent on something,FALSE,I manage my expenses wisely and save for the future.,,,
WRONG,Not correct or true; incorrect,FALSE,I have the courage to stand up against what is wrong.,,,
STOLID,Calm dependable and showing little emotion,FALSE,He had a stolid and impassive face.,,,
STOIC,A person who can endure pain or hardship without showing their feelings,FALSE,A soldier should be a stoic who can endure pain.,,,
OBEY,To comply with the command or instruction of someone,FALSE,I obey the lawful commands of my superior officers immediately.,,,
CUMULATIVE,Increasing in quantity by successive additions,FALSE,The cumulative effect of small efforts is great.,,,
SACRILEGIOUS,Involving or committing an act against a sacred person or thing,FALSE,It is sacrilegious to desecrate a place of worship.,,,
THESAURUS,A book that lists words in groups of synonyms and related concepts,FALSE,I use a thesaurus to find the right word.,,,
IMMUNITY,The ability of an organism to resist a particular infection or toxin,FALSE,No one has immunity from hard work if they want to succeed.,,,
PUERILE,Childishly silly and trivial,FALSE,His puerile jokes irritated everyone.,,,
TEST,A procedure intended to establish the quality or performance of something,FALSE,I am prepared for any test of my abilities.,,,
PAROCHIAL,Having a limited or narrow outlook or scope,FALSE,I do not have a parochial outlook on life.,,,
VERNACULAR,The language or dialect spoken by the ordinary people in a particular country,FALSE,I can speak in my vernacular language fluently.,,,
IRREPARABLE,Impossible to rectify or repair,FALSE,A wrong decision can cause irreparable damage.,,,
LINE,A long narrow mark or band,FALSE,I toe the line and respect the chain of command.,,,
PRURIENT,Having or encouraging an excessive interest in sexual matters,FALSE,I do not have a prurient interest in others' private lives.,,,
QUAIL,To feel or show fear or apprehension,FALSE,I will not quail in the face of danger.,,,
FORGET,To fail to remember,FALSE,I forget past failures and focus on future opportunities.,,,
RESERVOIR,A large natural or artificial lake used as a source of water supply,FALSE,He is a reservoir of knowledge on various subjects.,,,
SAVE,To keep safe or rescue from harm or danger,FALSE,I save my energy for the most critical phase of the task.,,,
COMPLEXITY,The state or quality of being intricate or complicated,FALSE,I can handle the complexity of modern warfare.,,,
INTEGRAL,Necessary to make a whole complete; essential,FALSE,Discipline is an integral part of military life.,,,
RULE,One of a set of explicit or understood regulations,FALSE,I follow the rules and regulations diligently.,,,
SATIRE,The use of humor irony or exaggeration to expose people's stupidity,FALSE,His satire on the political system was very effective.,,,
STAY,To remain in the same place or state,FALSE,I stay focused on the mission objective until it is achieved.,,,
PRODIGAL,Spending money or resources freely and recklessly; wastefully extravagant,FALSE,I am not a prodigal person; I use my resources wisely.,,,
NOR,Used before the second of two alternatives to connect them,FALSE,Neither fame nor money can distract me from my duty.,,,
MUTATE,To change or cause to change in form or nature,FALSE,A good plan should be able to mutate with the situation.,,,
SPEAK,To say something in order to convey information an opinion or a feeling,FALSE,I speak with confidence and clarity.,,,
SAGACIOUS,Having or showing keen mental discernment and good judgment; shrewd,FALSE,A sagacious leader can foresee the future trends.,,,
EXEMPLARY,Serving as a desirable model; representing the best of its kind,FALSE,An officer's conduct should be exemplary at all times.,,,
JURISDICTION,The official power to make legal decisions and judgments,FALSE,I will operate within my jurisdiction.,,,
SHY,Being reserved or having or showing nervousness or timidity,FALSE,I have overcome my shyness through active participation.,,,
VAUNT,To boast about or praise something excessively,FALSE,I do not vaunt my achievements.,,,
PANEGYRIC,A public speech or published text in praise of someone or something,FALSE,The commander's panegyric boosted the morale of the troops.,,,
AGGRESSION,Hostile or violent behavior or attitudes toward another,FALSE,I channel my aggression into my physical training and sports.,,,
TUTELAGE,Protection of or authority over someone or something; guardianship,FALSE,I learned a lot under the tutelage of my mentor.,,,
MEET,To arrange to be in the same place at the same time,FALSE,I am always eager to meet new people and learn from them.,,,
ELUCIDATE,To make something clear; explain,FALSE,I can elucidate complex matters in simple terms.,,,
BOTH,Used to refer to two people or things regarded and addressed together,FALSE,I consider both pros and cons before making a decision.,,,
VALIDATE,To check or prove the validity or accuracy of something,FALSE,I need to validate my hypothesis with some data.,,,
EVOLVE,To develop gradually especially from a simple to a more complex form,FALSE,I have evolved as a person through my life experiences.,,,
PRISTINE,In its original condition; unspoiled,FALSE,I love the pristine beauty of the snow-clad mountains.,,,
THRALL,The state of being in someone's power or having great power over someone,FALSE,The country was in the thrall of a dictator.,,,
RESENTMENT,Bitter indignation at having been treated unfairly,FALSE,I do not harbor any resentment against anyone.,,,
TENET,A principle or belief especially one of the main principles of a religion or philosophy,FALSE,Non-violence is a basic tenet of Gandhian philosophy.,,,
FRUSTRATED,Feeling or expressing distress and annoyance from inability to change something,FALSE,I analyze the cause of frustration and take corrective action.,,,
SIMIAN,Relating to or resembling apes or monkeys,FALSE,The man had a simian and ape-like face.,,,
INDICATE,To point out; show,FALSE,My hard work indicates my sincerity.,,,
INGRAINED,Firmly fixed or established; difficult to change,FALSE,Discipline is ingrained in my personality.,,,
PERSPICACIOUS,Having a ready insight into and understanding of things,FALSE,A good leader must be perspicacious.,,,
PETULANT,Childishly sulky or bad-tempered,FALSE,I am not a petulant person; I am mature.,,,
HYPOTHESIS,A supposition or proposed explanation made on the basis of limited evidence,FALSE,I can form a hypothesis and test it with experiments.,,,
THROW,To propel something with force through the air,FALSE,I throw away my fears and embrace challenges.,,,
LOYALTY,A strong feeling of support or allegiance,FALSE,My loyalty lies with my country my unit and my men.,,,
DIFFUSE,To spread or cause to spread over a wide area,FALSE,I can diffuse a tense situation with my communication skills.,,,
HONESTY,The quality of being honest; truthfulness,FALSE,Honesty and integrity are the cornerstones of my character.,,,
CONVINCE,To cause someone to believe firmly in the truth of something,FALSE,I can convince my team to follow my plan.,,,
MENIAL,Not requiring much skill and lacking prestige,FALSE,No work is menial if done with sincerity.,,,
PERJURY,The offense of willfully telling an untruth in a court after having taken an oath,FALSE,I will never commit perjury in a court of law.,,,
CORRECT,Free from error; in accordance with fact or truth,FALSE,I correct my mistakes and learn from them.,,,
DEMOLISH,To pull or knock down a building; to decisively defeat,FALSE,I can demolish enemy morale with a surprise attack.,,,
EXORBITANT,Unreasonably high in price,FALSE,I avoid exorbitant spending and live a simple life.,,,
LONELY,Sad because one has no friends or company,FALSE,I use my lonely time for self-introspection and improvement.,,,
INTEGRITY,The quality of being honest and having strong moral principles,FALSE,I will never compromise on my integrity and moral values.,,,
VIABLE,Capable of working successfully; feasible,FALSE,The project is financially viable.,,,
INEXORABLE,Impossible to stop or prevent,FALSE,The march of time is inexorable.,,,
VERBIAGE,Speech or writing that uses too many words,FALSE,The report was full of unnecessary verbiage.,,,
STRINGENT,Strict precise and exacting,FALSE,The company has very stringent quality control standards.,,,
FAMISH,To suffer severely from hunger,FALSE,A soldier can survive even when famished.,,,
WITH,Accompanied by another person or thing,FALSE,I can work effectively with people from different backgrounds.,,,
NAIVE,Showing a lack of experience wisdom or judgment,FALSE,I am not naive; I am well aware of the world.,,,
INSCRUTABLE,Impossible to understand or interpret,FALSE,The ways of destiny are inscrutable.,,,
XENOPHOBIA,Dislike of or prejudice against people from other countries,FALSE,Xenophobia is a major problem in many countries.,,,
RAZE,To completely destroy a building or town,FALSE,The enemy's bunker was razed to the ground by our artillery.,,,
GROUP,A number of people or things that are located together,FALSE,I am a good team player and can work in any group.,,,
ENTER,To come or go into a place,FALSE,I am ready to enter a new and challenging phase of my life.,,,
INCLUDE,To comprise or contain as part of a whole,FALSE,I include everyone's input while making a team decision.,,,
ONEROUS,Involving a great deal of effort and difficulty,FALSE,I am ready to take on an onerous responsibility.,,,
PROPENSITY,An inclination or natural tendency to behave in a particular way,FALSE,I have a propensity to take on challenging tasks.,,,
INSTRUMENTAL,Serving as a means of pursuing an aim,FALSE,I want to be instrumental in the progress of my country.,,,
VERBOSE,Using or expressed in more words than are needed,FALSE,A verbose person uses more words than necessary.,,,
ELABORATE,Involving many carefully arranged parts or details,FALSE,I can elaborate my plan with all the necessary details.,,,
STRONG,Having the power to move heavy weights or perform other physically demanding tasks,FALSE,My strong will helps me overcome obstacles in my path.,,,
DISPENSE,To distribute or provide a service or information to a number of people,FALSE,A leader must dispense justice without fear or favor.,,,
INSOLENT,Showing a rude and arrogant lack of respect,FALSE,I am never insolent towards my elders and superiors.,,,
VIRILE,Having strength and energy; manly,FALSE,A soldier needs to be strong and virile.,,,
PREHENSILE,Capable of grasping,FALSE,A monkey has a prehensile tail.,,,
DIFFERENCE,A point or way in which people or things are not the same,FALSE,I want to make a positive difference in people's lives.,,,
COPY,To make a similar or identical version of something,FALSE,I never copy others; I believe in my own abilities.,,,
TRANQUIL,Free from disturbance; calm,FALSE,I love the tranquil and peaceful life of a village.,,,
SURFEIT,An excessive amount of something,FALSE,There is a surfeit of information on the internet.,,,
LITIGATE,To resort to legal action to settle a matter; be involved in a lawsuit,FALSE,I prefer to solve disputes through negotiation not litigation.,,,
EXPONENT,A person who believes in and promotes the truth or benefits of an idea,FALSE,I want to be an exponent of peace and harmony.,,,
SCION,A descendant of a notable family,FALSE,He is the scion of a wealthy business family.,,,
DAY,A period of twenty-four hours,FALSE,I plan my day ahead to be productive and highly efficient.,,,
TORTUOUS,Full of twists and turns,FALSE,The bus had to negotiate a tortuous mountain road.,,,
INFORM,To give someone facts or information,FALSE,I keep my superiors and subordinates informed about the situation.,,,
