word,best_response,shown,meaning,,,,
DENUDE,I work for afforestation not to denude the land,FALSE,To strip something of its covering possessions or assets,,,,
GAIN,I aim to gain knowledge and experience from every situation,FALSE,To obtain or secure something desired or favorable,,,,
QUEASY,The rough sea journey made him feel queasy,FALSE,Nauseated; feeling sick,,,,
HUSH,A hush fell over the crowd as the leader began to speak,FALSE,To make or become quiet and still,,,,
SMUGGLE,He was arrested for smuggling drugs,FALSE,To move goods illegally into or out of a country,,,,
INCONSTANT,I am constant in my love for my country,FALSE,Frequently changing; variable or irregular,,,,
INTELLIGENCE,I use my intelligence to find practical solutions to problems,FALSE,The ability to acquire and apply knowledge and skills,,,,
MUGGY,The weather was hot and muggy,FALSE,Unpleasantly warm and humid,,,,
DREARY,I find joy and excitement in my work and it's never dreary,FALSE,Depressingly dull and bleak or repetitive,,,,
DUST,I rise again every time I fall and dust myself off,FALSE,Fine dry powder consisting of tiny particles of earth or waste matter,,,,
DEATH,A soldier is never afraid of death in the line of duty,FALSE,The action or fact of dying or being killed,,,,
ADMIT,I readily admit my mistakes and learn from them,FALSE,To confess to be true or to be the case,,,,
STALE,I keep my knowledge fresh and do not let it become stale,FALSE,No longer fresh and pleasant to eat; hard musty or dry,,,,
SMOLDER,The fire was smoldering in the fireplace,FALSE,To burn slowly with smoke but no flame,,,,
PROHIBIT,Smoking is prohibited in public places,FALSE,To formally forbid something by law,or other authority,,,
DEVOID,My actions are full of purpose and devoid of selfishness,FALSE,Entirely lacking or free from,,,,
STAMPEDE,There was a stampede in the crowd and many people were injured,FALSE,A sudden panicked rush of a number of horses,or other animals,,,
ILLEGAL,I will never do anything that is illegal,FALSE,Contrary to or forbidden by law,,,,
PROVIDE,I provide support and encouragement to my teammates,FALSE,To make available for use; supply,,,,
SERIOUS,I am serious about my career and my responsibilities,FALSE,Demanding or deserving careful consideration or application,,,,
BITTER,I learn from bitter experiences and do not let them affect me,FALSE,Having a sharp pungent taste or smell; not sweet,,,,
PENANCE,He did penance for his sins by fasting for a week,FALSE,Punishment inflicted on oneself as an outward expression of repentance,,,,
GLITCH,I can fix any technical glitch quickly,FALSE,A sudden usually temporary malfunction or fault of equipment,,,,
NEGLIGIBLE,The difference in price was negligible,FALSE,So small or unimportant as to be not worth considering,,,,
PERVERSE,He took a perverse pleasure in annoying others,FALSE,Showing a deliberate and obstinate desire to behave in a way that is unreasonable,,,,
RESPONSIBLE,I am a responsible person who can be trusted with any task,FALSE,Having an obligation to do something or having control over or care for someone,,,,
DESERT,I can survive in a desert with my skills and training,FALSE,A waterless desolate area of land with little or no vegetation,,,,
CURE,Prevention is the best cure for most problems,FALSE,To relieve a person or animal of the symptoms of a disease or condition,,,,
RESURRECT,The old tradition was resurrected for the festival,FALSE,To restore a dead person to life,,,,
STAIN,I keep my character clean and free from any stain,FALSE,A colored patch or dirty mark that is difficult to remove,,,,
PREFABRICATED,The building was made of prefabricated sections,FALSE,Manufactured in sections to enable quick or easy assembly,,,,
STODGY,The stodgy food was difficult to digest,FALSE,Dull and uninspired,,,,
RELENT,The father finally relented and allowed his son to go,FALSE,To abandon or mitigate a harsh intention or cruel treatment,,,,
STRIKE,I strike a balance between my work and personal life,FALSE,To hit forcibly and deliberately with one's hand or a weapon or other implement,,,,
GAUDY,I prefer elegance and simplicity over gaudy displays,FALSE,Extravagantly bright or showy typically so as to be tasteless,,,,
DISPEL,A leader's confidence can dispel the fears of his team,FALSE,To make a doubt feeling or belief disappear,,,,
DRAMA,I am a straightforward person and do not like unnecessary drama,FALSE,An exciting emotional or unexpected series of events or set of circumstances,,,,
JUDDER,The old engine juddered to a halt,FALSE,To shake and vibrate violently,,,,
COUNTER,I am trained to counter any move by the enemy,FALSE,To speak or act in opposition to,,,,
PATHOS,The play was full of pathos and moved the audience to tears,FALSE,A quality that evokes pity or sadness,,,,
INSCRIBE,I want to inscribe my name in the annals of my regiment,FALSE,To write or carve words or symbols on something,,,,
NOTORIOUS,He is a notorious criminal with a long record,FALSE,Famous for something bad,,,,
EMBARRASS,I am not embarrassed to ask for help when I need it,FALSE,To cause someone to feel awkward self-conscious or ashamed,,,,
BOOZE,I stay away from booze and other harmful habits,FALSE,Alcoholic drink,,,,
PARTISAN,He was a partisan of the ruling party,FALSE,A strong supporter of a party,or person,,,
INSATIABLE,I have an insatiable desire for knowledge and learning,FALSE,Impossible to satisfy,,,,
UNRELIABLE,I am a reliable person and my team can depend on me,FALSE,Not able to be relied upon,,,,
REPRIEVE,The convict was granted a reprieve from the death sentence,FALSE,To cancel or postpone the punishment of someone,,,,
COMATOSE,A nation's spirit should never be comatose or inactive,FALSE,In a state of deep unconsciousness for a prolonged or indefinite period,,,,
CONTROVERSY,I stay away from unnecessary controversy and focus on work,FALSE,Disagreement typically when prolonged public and heated,,,,
PERSONA,He had a different persona on stage than in real life,FALSE,The aspect of someone's character that is presented to or perceived by others,,,,
SMACK,She gave him a smack on his cheek,FALSE,To strike someone or something,,,,
MOLASSES,The progress of the project was as slow as molasses,FALSE,Thick,,,,
PLEDGE,He made a pledge to serve his country,FALSE,A solemn promise or undertaking,,,,
RAUCOUS,The raucous laughter of the crowd was deafening,FALSE,Making or constituting a disturbingly harsh and loud noise,,,,
WEAK,I identify my weak areas and work hard to improve them,FALSE,Lacking the power to perform physically demanding tasks; lacking strength,,,,
COOL,A cool head is necessary for making decisions in a crisis,FALSE,Of or at a fairly low temperature,,,,
PREDICT,He predicted that his team would win the match,FALSE,To say or estimate that a specified thing will happen in the future,,,,
SECEDE,The southern states seceded from the union,FALSE,To formally withdraw from a federation or body,,,,
SYNCOPE,He fainted due to a syncope,FALSE,A temporary loss of consciousness,,,,
STIFF,My body is flexible but my resolve is stiff,FALSE,Not easily bent or changed in shape; rigid,,,,
MALADJUSTED,He was a maladjusted youth with a history of crime,FALSE,Failing to cope with the demands of a normal social environment,,,,
DISGRACE,I will never bring disgrace to my family or my country,FALSE,Loss of reputation or respect as the result of a dishonorable action,,,,
SMUG,He had a smug look of satisfaction on his face,FALSE,Having or showing an excessive pride in oneself,,,,
PATENT,It was a patent lie and nobody believed him,FALSE,Easily recognizable; obvious,,,,
CANNOT,I believe I can do anything if I put my mind to it,FALSE,Expresses inability,,,,
OVERALL,The overall performance of the team was satisfactory,FALSE,Taking everything into account,,,,
OPAQUE,The opaque glass of the window blocked the view,FALSE,Not able to be seen through; not transparent,,,,
GROW,I constantly seek opportunities to grow as a person and leader,FALSE,To undergo natural development by increasing in size and changing physically,,,,
REALIZE,I realized my potential when I pushed my limits,FALSE,To become fully aware of something as a fact; understand clearly,,,,
PIECE,He broke the vase into many pieces,FALSE,A part or portion of something,,,,
CONVICT,I am convicted in my beliefs and my path,FALSE,To declare someone to be guilty of a criminal offense by the verdict of a jury or the decision of a judge,,,,
JAM,I can get my team out of any jam or difficult situation,FALSE,A situation in which it is difficult or impossible to move,,,,
JOURNEY,The journey to becoming an officer requires perseverance,FALSE,An act of traveling from one place to another,,,,
SALLOW,His face was sallow after the long illness,FALSE,Of an unhealthy yellow or pale brown color,,,,
SIP,He sipped his hot coffee slowly,FALSE,To drink something by taking small mouthfuls,,,,
RECTIFY,He rectified the mistake in the report,FALSE,To put right; correct,,,,
RELEGATE,He was relegated to a minor role in the team,FALSE,To consign or dismiss to an inferior rank or position,,,,
SHRINK,I do not shrink from my responsibilities and face them head-on,FALSE,To become or make smaller in size or amount,,,,
OUTRAGE,The rape of the young girl caused a public outrage,FALSE,An extremely strong reaction of anger,or indignation,,,
DISTRESS,I remain calm and composed even in times of distress,FALSE,Extreme anxiety sorrow or pain,,,,
POLARIZE,The controversial issue polarized the public opinion,FALSE,To divide or cause to divide into two sharply contrasting groups,,,,
TIME,I manage my time effectively to balance all my responsibilities,FALSE,The indefinite continued progress of existence and events in the past present and future,,,,
UNHEALTHY,I avoid unhealthy habits and maintain a good lifestyle,FALSE,Not in a state of good or normal health,,,,
OPPONENT,I respect my opponent but play to win,FALSE,Someone who competes against or fights another in a contest,or argument,,,
DISPOSSESS,I will fight for the rights of the dispossessed,FALSE,To deprive someone of land property or other possessions,,,,
STRANGE,I am adaptable and do not find new environments strange,FALSE,Unusual or surprising in a way that is unsettling or difficult to understand,,,,
DARE,I dare to take on challenges that others might avoid,FALSE,To have the courage to do something,,,,
SPECK,There was not a speck of dust in the room,FALSE,A tiny spot,,,,
DUNCE,I am a keen learner and not a dunce,FALSE,A person who is slow at learning; a stupid person,,,,
TRUTH,I always stand by the truth regardless of consequences,FALSE,The quality or state of being true,,,,
AILMENT,A healthy lifestyle prevents most common ailments,FALSE,An illness typically a minor one,,,,
INCOMPETENCE,I work on my skills to overcome any incompetence,FALSE,Inability to do something successfully,,,,
PLAINTIVE,The plaintive cry of the lost child was heard,FALSE,Sounding sad and mournful,,,,
TRY,I always try my best regardless of the outcome,FALSE,To make an attempt or effort to do something,,,,
ACCIDENT,Proper planning and precautions can prevent most accidents,FALSE,An unfortunate incident that happens unexpectedly and unintentionally,,,,
WHITE,White color symbolizes peace and purity,FALSE,Of the color of milk or fresh snow due to the reflection of all visible rays of light,,,,
TORMENT,I will not let any failure torment my mind and spirit,FALSE,Severe physical or mental suffering,,,,
ROTE,He learned the poem by rote,FALSE,Mechanical or habitual repetition of something to be learned,,,,
SYCOPHANT,He was a sycophant who always flattered his boss,FALSE,A person who acts obsequiously toward someone important,,,,
DEAD-END,I can find a way out of any dead-end situation,FALSE,An end of a road or passage from which no exit is possible,,,,
CONSERVATIVE,I am open to new ideas but conservative in my values,FALSE,Averse to change or innovation and holding traditional values,,,,
REVERIE,He was lost in a reverie and did not hear me,FALSE,A state of being pleasantly lost in one's thoughts,,,,
SCRIBBLE,He scribbled a note and left it on the table,FALSE,To write or draw something carelessly or hurriedly,,,,
PORTEND,The dark clouds portend a storm,FALSE,To be a sign or warning that something is about to happen,,,,
MEEK,A soldier should be brave,FALSE,not meek,gentle,and easily imposed on,,
ALIEN,I can adapt to an alien environment quickly,FALSE,Belonging to a foreign country or nation,,,,
DAMAGE,I take care of my equipment to prevent any damage,FALSE,Physical harm caused to something in such a way as to impair its value usefulness or normal function,,,,
ESTRANGE,I work to build relationships not to estrange people,FALSE,To cause someone to be no longer close or affectionate to someone,,,,
MOOT,The point is moot as the decision has already been taken,FALSE,Subject to debate,or uncertainty,,,
PIQUE,He was piqued by her indifference to him,FALSE,A feeling of irritation or resentment,,,,
PINION,The bird had a broken pinion and could not fly,FALSE,The outer part of a bird's wing including the flight feathers,,,,
SPURIOUS,He made a spurious claim to the property,FALSE,Not being what it purports to be,,,,
PEDESTRIAN,The movie had a pedestrian plot and was quite boring,FALSE,Lacking inspiration or excitement; dull,,,,
HAIL,The hailstorm damaged the crops,FALSE,Pellets of frozen rain which fall in showers from cumulonimbus clouds,,,,
FOCUS,I maintain my focus on the mission objective under pressure,FALSE,The center of interest or activity,,,,
PLOY,It was just a ploy to distract the attention of the enemy,FALSE,A cunning plan or action designed to turn a situation to one's own advantage,,,,
SPECTER,The specter of war loomed large over the country,FALSE,A ghost,,,,
HATE,I believe in love and compassion not hate,FALSE,To feel intense or passionate dislike for someone,,,,
REST,Proper rest is essential for peak physical and mental performance,FALSE,To cease work or movement in order to relax refresh oneself or recover strength,,,,
RAIN,Rain brings relief from heat and is good for crops,FALSE,The condensed moisture of the atmosphere falling visibly in separate drops,,,,
BOW,I bow my head in respect to my elders and my nation's flag,FALSE,To bend the head or upper part of the body as a sign of respect greeting or shame,,,,
DESPAIR,I never despair and always find a reason to be hopeful,FALSE,The complete loss or absence of hope,,,,
MAWKISH,The movie was too mawkish for my taste,FALSE,Sentimental in a feeble or sickly way,,,,
PLUCK,He plucked a flower from the garden,FALSE,To take hold of something and quickly remove it from its place,,,,
BURY,I bury my past failures and focus on the future,FALSE,To put or hide under ground,,,,
HANDLE,I can handle stressful situations with a calm and composed mind,FALSE,To feel or manipulate with the hands,,,,
SECTARIAN,The sectarian violence had claimed many lives,FALSE,Denoting or concerning a sect or sects,,,,
PROGNOSTICATE,He prognosticated a bright future for the company,FALSE,To foretell or prophesy an event in the future,,,,
INTIMIDATION,I am not cowed by intimidation and stand my ground,FALSE,The action of intimidating someone,,,,
RIGOR,The rigor of the training was very demanding,FALSE,The quality of being extremely thorough,or accurate,,,
RAIL,He railed against the injustice of the system,FALSE,To complain or protest strongly and persistently,,,,
FORLORN,I cheer up my teammates when they feel forlorn or dejected,FALSE,Pitifully sad and abandoned or lonely,,,,
EXAGGERATE,I present facts as they are and do not exaggerate,FALSE,To represent something as being larger better or worse than it really is,,,,
FORGET,I forget past failures and focus on future opportunities,FALSE,To fail to remember,,,,
DISTRUSTFUL,I am trusting of my teammates and not distrustful,FALSE,Feeling or showing distrust of someone or something,,,,
SLATTERNLY,She was a slatternly woman who did not care about her appearance,FALSE,Dirty and untidy,,,,
MISTAKE,I take ownership of my mistakes and learn from them,FALSE,An action or judgment that is misguided or wrong,,,,
REGIMENT,He was a soldier in the infantry regiment,FALSE,A permanent unit of an army,,,,
PROWL,The tiger was prowling in the jungle,FALSE,To move around restlessly and stealthily,,,,
REVERT,He reverted to his old habits after a few days,FALSE,To return to a previous state,or topic,,,
WANDER,I have a clear goal and do not wander aimlessly,FALSE,To walk or move in a leisurely or aimless way,,,,
INEXPLICABLE,A team's synergy can produce inexplicable and amazing results,FALSE,Hard to explain or account for,,,,
REMNANT,The remnant of the army surrendered to the enemy,FALSE,A small remaining quantity of something,,,,
PROSELYTIZE,He tried to proselytize his friends to his new religion,FALSE,To convert or attempt to convert someone from one religion,or opinion to another,,,
BORE,I find interest in my work and never get bored,FALSE,To make someone feel weary and uninterested by being dull or tedious,,,,
SPINDLY,The spindly legs of the table could not support the weight,FALSE,Long or tall and thin,,,,
EXPERIENCE,Experience is a great teacher for practical situations,FALSE,Practical contact with and observation of facts or events,,,,
DIP,A dip in performance motivates me to work harder,FALSE,To put or let something down into a liquid for a moment,,,,
DEMORALIZE,I motivate my team and do not demoralize them,FALSE,To cause someone to lose confidence or hope,,,,
INTERROGATE,I am trained to withstand any interrogation,FALSE,To ask questions of someone closely,or formally,,,
GENUINE,A genuine effort always leads to a positive outcome,FALSE,Truly what something is said to be; authentic,,,,
MACHINE,A team works like a well-oiled machine with good coordination,FALSE,An apparatus using mechanical power and having several parts each with a definite function and together performing a particular task,,,,
MORTAL,All human beings are mortal,FALSE,Subject to death,,,,
SORDID,He lived a sordid life of crime and violence,FALSE,Involving immoral or dishonorable actions and motives,,,,
LOSS,A financial loss can be recovered with hard work,FALSE,The fact or process of losing something or someone,,,,
BITE,I have the courage to bite the bullet and take tough decisions,FALSE,To use the teeth to cut into something in order to eat it,,,,
TRAIN,I train regularly to maintain my physical and mental fitness,FALSE,To teach a person or animal a particular skill or type of behavior,,,,
CONSIDER,I consider all aspects before making a final decision,FALSE,To think carefully about something typically before making a decision,,,,
OBLIVIOUS,He was oblivious to the danger lurking around him,FALSE,Not aware of or not concerned about what is happening,,,,
GIMMICK,I believe in solid work not in promotional gimmicks,FALSE,A trick or device intended to attract attention publicity or business,,,,
SOPORIFIC,The soporific effect of the medicine made him sleepy,FALSE,Tending to induce drowsiness or sleep,,,,
INTERNECINE,The internecine conflict weakened the organization,FALSE,Destructive to both sides in a conflict,,,,
SIMIAN,He had simian features with a low forehead,FALSE,Relating to or resembling apes or monkeys,,,,
GIFT,The ability to lead is a gift that must be nurtured,FALSE,A thing given willingly to someone without payment; a present,,,,
SPARK,A single spark of idea can lead to a great innovation,FALSE,A small fiery particle thrown off from a fire alight in ashes or produced by striking two hard surfaces together,,,,
SELDOM,He seldom went out of his house,FALSE,Not often; rarely,,,,
INFRINGE,I respect others' rights and do not infringe upon them,FALSE,To actively break the terms of a law or agreement,,,,
TOUGH,I am mentally tough and can handle difficult situations,FALSE,Strong enough to withstand adverse conditions or rough handling,,,,
RIOT,A disciplined force can control a riot effectively,FALSE,A violent disturbance of the peace by a crowd,,,,
SEVERE,I can endure severe training and hardships to achieve my goal,FALSE,Very great; intense,,,,
MISAPPREHEND,He misapprehended the situation and made a wrong decision,FALSE,To misunderstand the words,or intentions of another,,,
PLOT,The conspirators hatched a plot to overthrow the king,FALSE,A plan made in secret by a group of people,,,,
CELEBRATE,We celebrate our successes together as a team,FALSE,To acknowledge a significant or happy day or event with a social gathering or enjoyable activity,,,,
MACABRE,The macabre dance of death was a part of their ritual,FALSE,Disturbing and horrifying because of involvement with or depiction of death and injury,,,,
PERDITION,He believed that sinners would go to perdition,FALSE,A state of eternal punishment and damnation,,,,
CONFRONT,I confront my problems directly and find solutions,FALSE,To meet someone face to face with hostile or argumentative intent,,,,
OVERTHROW,The rebels tried to overthrow the government,FALSE,To remove forcibly from power,,,,
OPINE,He opined that the new policy would not be successful,FALSE,To hold and state as one's opinion,,,,
DISLIKE,I may dislike a person's habits but I respect the individual,FALSE,To feel distaste for or hostility toward,,,,
LEAVE,A good leader never leaves a man behind,FALSE,To go away from,,,,
ENERVATE,Challenges energize me they do not enervate me,FALSE,To cause someone to feel drained of energy or vitality,,,,
REMONSTRATE,He remonstrated with the driver for his rash driving,FALSE,To make a forcefully reproachful protest,,,,
SAGACIOUS,He was a sagacious leader who made wise decisions,FALSE,Having or showing keen mental discernment and good judgment,,,,
WORLD,I want to make the world a better place through my service,FALSE,The earth together with all of its countries and peoples,,,,
SABER-RATTLING,The two countries were engaged in saber-rattling,FALSE,The display or threat of military force,,,,
REPULSION,He felt a strong repulsion for the slimy creature,FALSE,A feeling of intense distaste or disgust,,,,
READ,I read to expand my knowledge and understanding of the world,FALSE,To look at and comprehend the meaning of written or printed matter,,,,
IMPLODE,A team without trust will eventually implode,FALSE,To collapse or cause to collapse violently inwards,,,,
PENCHANT,He had a penchant for collecting rare stamps,FALSE,A strong or habitual liking for something,,,,
NONCONFORMIST,He was a nonconformist who challenged all traditions,FALSE,A person whose behavior or views do not conform to prevailing ideas,,,,
FIT,I keep myself physically fit through a regular exercise routine,FALSE,In good health especially because of regular physical exercise,,,,
POPULAR,A popular leader is one who is respected and liked by his team,FALSE,Liked admired or enjoyed by many people,,,,
ROB,I will never rob anyone of their rights or dignity,FALSE,To take property unlawfully from a person or place by force or threat of force,,,,
MOCKERY,His trial was a mockery of justice,FALSE,Teasing and contemptuous language or behavior,,,,
ASHAMED,I am not ashamed to accept my mistakes and learn from them,FALSE,Embarrassed or guilty because of one's actions,,,,
REFRESH,A good night's sleep refreshes the mind and body,FALSE,To give new strength or energy to; reinvigorate,,,,
DILIGENT,A diligent student always achieves his academic goals,FALSE,Having or showing care and conscientiousness in one's work or duties,,,,
UNIFYING,A leader has a unifying effect on the team,FALSE,To bring together as a single unit,,,,
SEEP,Water was seeping through the crack in the wall,FALSE,To flow or leak slowly through a porous substance,,,,
MEDDLE,I do not meddle in other people's affairs,FALSE,To interfere in or busy oneself unduly with something that is not one's concern,,,,
PESSIMISM,His pessimism was affecting the morale of the team,FALSE,A tendency to see the worst aspect of things,,,,
PLUMP,The plump child had rosy cheeks,FALSE,Having a full rounded shape,,,,
SHUN,He was shunned by his friends after his betrayal,FALSE,To persistently avoid,or reject someone or something,,,
MUTILATE,The enemy had mutilated the bodies of the soldiers,FALSE,To inflict a violent and disfiguring injury on,,,,
SHREWD,He was a shrewd businessman who made a lot of money,FALSE,Having or showing sharp powers of judgment,,,,
STANCH,He tried to stanch the flow of blood from the wound,FALSE,To stop or restrict the flow of blood from a wound,,,,
COWARD,A coward hesitates but a brave heart takes initiative,FALSE,A person who is contemptibly lacking in the courage to do or endure dangerous or unpleasant things,,,,
ORTHODOX,He had orthodox views on religion and society,FALSE,Conforming to what is generally or traditionally accepted as right or true,,,,
INJUDICIOUS,I make well-thought-out decisions and am not injudicious,FALSE,Showing very poor judgment; unwise,,,,
BOYCOTT,I believe in discussion and debate not in boycott,FALSE,To withdraw from commercial or social relations as a punishment or protest,,,,
PRISON,Indiscipline can be a prison for one's potential,FALSE,A building in which people are legally held as a punishment for a crime or while awaiting trial,,,,
INEXCUSABLE,Neglecting one's duty is an inexcusable offense,FALSE,Too bad to be justified or tolerated,,,,
RANK,The room had a rank smell of stale smoke,FALSE,Having a foul or offensive smell,,,,
OFFBEAT,He had an offbeat sense of humor,FALSE,Unconventional; unusual,,,,
EXPEL,Discipline helps to expel negative thoughts from the mind,FALSE,To officially make someone leave a school or other organization,,,,
PERIPATETIC,He was a peripatetic teacher who taught in different villages,FALSE,Traveling from place to place,,,,
GROVEL,I earn respect; I do not grovel for it,FALSE,To lie or move abjectly on the ground with one's face downward,,,,
HECKLE,I do not get disturbed by the heckling of the crowd,FALSE,To interrupt a public speaker with derisive or aggressive comments or abuse,,,,
LUNACY,His plan was sheer lunacy and was rejected,FALSE,The state of being a lunatic; insanity,,,,
DELUDE,I am realistic and do not delude myself with false hopes,FALSE,To impose a misleading belief upon someone; deceive,,,,
RECOUNT,He recounted his adventures in the jungle,FALSE,To tell someone about something; give an account of an event,,,,
SCRUPULOUS,He was a scrupulous person who paid attention to every detail,FALSE,Diligent,and extremely attentive to details,,,
CONDEMN,I condemn any act of injustice or unfairness,FALSE,To express complete disapproval of typically in public,,,,
PROLIFERATE,Rumors started to proliferate after his resignation,FALSE,To increase rapidly in numbers,,,,
REPAIR,I believe in repairing relationships rather than breaking them,FALSE,To fix or mend a thing suffering from damage or a fault,,,,
PRIMP,She primped in front of the mirror before the party,FALSE,To spend time making minor adjustments to one's hair,,,,
SCHOOL,School taught me the basics of discipline and learning,FALSE,An institution for educating children,,,,
PAWN,He was just a pawn in the larger game of politics,FALSE,A person used by others for their own purposes,,,,
HEALTHY,I maintain a healthy lifestyle for physical and mental fitness,FALSE,In a good physical or mental condition; in good health,,,,
PLAUSIBLE,His excuse seemed plausible but I was not convinced,FALSE,Seeming reasonable or probable,,,,
AIM,My aim is to become a competent and respected officer,FALSE,A purpose or intention; a desired outcome,,,,
ENTANGLE,I do not get entangled in petty politics,FALSE,To cause to become twisted together with or caught in,,,,
PATRON,He was a generous patron of the arts,FALSE,A person who gives financial or other support to a person,or cause,,,
ENFLAME,I try to calm situations not enflame them,FALSE,To provoke or intensify strong feelings in someone,,,,
GRIM,Despite the grim situation I maintained my team's morale,FALSE,Forbidding or uninviting,,,,
OVERCROWDED,The train was overcrowded and I could not find a seat,FALSE,Filled beyond what is usual or comfortable,,,,
